Cecha;Beta;p_value;OR;;
const;-2,576;0,000;0,076;;
PageValues;1,348;0,000;3,851;;
Month_11;0,586;0,000;1,797;;
ExitRates;-0,418;0,000;0,659;;
Informational_Duration;-0,231;0,006;0,794;;
ProductRelated;0,224;0,013;1,252;;
Month_2;-0,193;0,141;0,825;;
NewVisitor;0,193;0,000;1,212;;
Informational;0,190;0,025;1,210;;
Month_10;0,167;0,000;1,181;;
Month_9;0,163;0,001;1,177;;
OperatingSystem3;-0,136;0,017;0,873;;
Month_3;0,111;0,097;1,118;;
Browser1;0,110;0,235;1,117;;
Month_6;0,110;0,049;1,116;;
Administrative;-0,106;0,188;0,900;;
Month_7;0,098;0,067;1,103;;
ProductRelated_Duration;0,088;0,310;1,092;;
IfWeekend;0,080;0,087;1,083;;
OperatingSystem1;-0,076;0,415;0,927;;
Region9;-0,075;0,144;0,928;;
Administrative_Duration;-0,070;0,371;0,932;;
Month_8;0,068;0,181;1,071;;
Month_12;0,057;0,375;1,059;;
Region7;-0,056;0,281;0,946;;
Region2;0,050;0,319;1,051;;
BrowserOther;0,032;0,525;1,033;;
Region8;0,031;0,537;1,031;;
Region4;-0,023;0,652;0,977;;
OperatingSystemOther;-0,020;0,713;0,980;;
SpecialDay;-0,019;0,801;0,981;;
Region5;-0,018;0,710;0,982;;
Region6;-0,017;0,743;0,983;;
Region3;0,013;0,807;1,013;;
